,Tweet,Username,Location,Created_at
48,"RT @DoyoungPromotes: $15 | 205k IDR | P690 | 180 mins 💨

- RT + RT &amp; Like @FearSplashy 📌",User_indihome,,2022-01-26 23:05:13
49,"Ingin merasankan serunya punya TV lebih dari satu di rumah? Yuk, berlangganan Hybrid Box (STB) Tambahan dan PLC!

N… https://t.co/dfjVYwC1nM",BarcelonaYunita,,2022-01-26 23:04:51
50,Ramaikan pagimu dengan lagu2 dari Langit Musik by IndiHome. Pastinya mood kamu bakal bagus seharian.… https://t.co/ifartbwWRZ,AkuAzza3,Telkom Surabaya Utara,2022-01-26 23:04:46
51,"Bangun pagi cuaca mendung hawanya enak bgt buat lanjut tidur lagi, tapi tidak semudah itu, ada to do list yg harus… https://t.co/oVizuDAagI",lailafadhilah98,"Semarang, Jawa Tengah",2022-01-26 23:04:01
52,"Semuanya bisa dilakukan dengan mudah kalau Sobat pakai aplikasi IndiHome Smart! Jadi, tunggu apa lagi? Yuk, downloa… https://t.co/pgduNRpkFB",SangWarior,Surabaya,2022-01-26 23:01:43
53,"Apalagii nih kok serius😄😄😄

#AktivitasTanpaBatas
#BerjuangTanpaBatas
#IndiHome
#IndiHomeSelaludiHati… https://t.co/kqYUy4Qw36",repull,"Medan Timur, Indonesia",2022-01-26 23:01:42
54,"Gak asik banget🥲🥲🥲

#AktivitasTanpaBatas
#BerjuangTanpaBatas
#IndiHome
#IndiHomeSelaludiHati
#InternetnyaIndonesia https://t.co/JxLAhmUaLV",repull,"Medan Timur, Indonesia",2022-01-26 23:01:08
55,"Musim baru🤩🤩🤩

#AktivitasTanpaBatas
#BerjuangTanpaBatas
#IndiHome
#IndiHomeSelaludiHati
#InternetnyaIndonesia https://t.co/sq3gVcw5QX",repull,"Medan Timur, Indonesia",2022-01-26 23:00:33
56,Mau bikin sarapan tapi butuh inspirasi resep nih. Buka YouTube dari IndiHome TV aja Sob! #AktivitasTanpaBatas… https://t.co/7jndS7hOBY,AkuAzza3,Telkom Surabaya Utara,2022-01-26 22:59:38
57,"Solusi banget👨🏻‍💻👨🏻‍💻👨🏻‍💻

#AktivitasTanpaBatas
#BerjuangTanpaBatas
#IndiHome
#IndiHomeSelaludiHati… https://t.co/Njcv4oMQiX",repull,"Medan Timur, Indonesia",2022-01-26 22:59:35
